,0
speechiness,0.14825938183624904
tempo,0.14061104409300448
danceability,0.13598228097654913
energy,0.09946030944792952
instrumentalness,0.09069155569220431
duration_ms,0.0839579357842965
acousticness,0.08363167359476835
valence,0.08226741553209188
loudness,0.07208880045582232
liveness,0.03503540869182445
key,0.02009206515873496
mode,0.007922128736525215
